,Team,Win Percentage
0,Clemson,93.3%
1,Alabama,93.3%
2,W Michigan,92.9%
3,Washington,85.7%
4,Oklahoma,84.6%
5,Ohio State,84.6%
6,S Florida,84.6%
7,San Diego St,78.6%
8,Wisconsin,78.6%
9,Penn State,78.6%
10,W Kentucky,78.6%
11,Florida St,76.9%
12,Michigan,76.9%
13,USC,76.9%
14,Stanford,76.9%
15,Tulsa,76.9%
16,App State,76.9%
17,Air Force,76.9%
18,Troy,76.9%
19,Oklahoma St,76.9%
20,Boise State,76.9%
21,W Virginia,76.9%
22,Old Dominion,76.9%
23,Temple,71.4%
24,VA Tech,71.4%
25,Colorado,71.4%
26,Tennessee,69.2%
27,GA Tech,69.2%
28,Minnesota,69.2%
29,Toledo,69.2%
30,Miami (FL),69.2%
31,Utah,69.2%
32,New Mexico,69.2%
33,Nebraska,69.2%
34,Louisville,69.2%
35,Kansas St,69.2%
36,BYU,69.2%
37,Houston,69.2%
38,Florida,69.2%
39,LSU,66.7%
40,LA Tech,64.3%
41,Navy,64.3%
42,Georgia,61.5%
43,Pittsburgh,61.5%
44,Auburn,61.5%
45,Arkansas St,61.5%
46,Iowa,61.5%
47,N Carolina,61.5%
48,Memphis,61.5%
49,Wash State,61.5%
50,Army,61.5%
51,Texas A&M,61.5%
52,Middle Tenn,61.5%
53,Ohio,57.1%
54,Wyoming,57.1%
55,Wake Forest,53.9%
56,S Mississippi,53.9%
57,Boston Col,53.9%
58,NC State,53.9%
59,E Michigan,53.9%
60,Baylor,53.9%
61,Colorado St,53.9%
62,Arkansas,53.9%
63,Kentucky,53.9%
64,Northwestern,53.9%
65,Hawaii,50.0%
66,S Carolina,46.2%
67,LA Lafayette,46.2%
68,Central Mich,46.2%
69,Miss State,46.2%
70,TX Christian,46.2%
71,Miami (OH),46.2%
72,Vanderbilt,46.2%
73,Central FL,46.2%
74,S Alabama,46.2%
75,Indiana,46.2%
76,Maryland,46.2%
77,TX-San Ant,46.2%
78,Texas Tech,41.7%
79,Arizona St,41.7%
80,Akron,41.7%
81,Nevada,41.7%
82,S Methodist,41.7%
83,Texas,41.7%
84,GA Southern,41.7%
85,N Illinois,41.7%
86,California,41.7%
87,Mississippi,41.7%
88,North Texas,38.5%
89,Cincinnati,33.3%
90,Duke,33.3%
91,Syracuse,33.3%
92,Tulane,33.3%
93,Bowling Grn,33.3%
94,Notre Dame,33.3%
95,Oregon St,33.3%
96,Missouri,33.3%
97,San Jose St,33.3%
98,TX El Paso,33.3%
99,Charlotte,33.3%
100,LA Monroe,33.3%
101,Ball State,33.3%
102,UNLV,33.3%
103,Florida Intl,33.3%
104,UCLA,33.3%
105,Oregon,33.3%
106,Kent State,25.0%
107,Fla Atlantic,25.0%
108,Illinois,25.0%
109,Michigan St,25.0%
110,Marshall,25.0%
111,N Mex State,25.0%
112,E Carolina,25.0%
113,Purdue,25.0%
114,Rice,25.0%
115,Arizona,25.0%
116,Utah State,25.0%
117,Iowa State,25.0%
118,Georgia State,25.0%
119,Connecticut,25.0%
120,Rutgers,16.7%
121,Virginia,16.7%
122,U Mass,16.7%
123,Kansas,16.7%
124,Buffalo,16.7%
125,Texas State,16.7%
126,Fresno St,8.3%
127,Liberty,0.0%
128,James Mad,0.0%
