,institution_name,classification_code,classification_name,ef_male_count,partic_men,rev_men,exp_men,total_exp_menwomen,sports
55404,University of Miami,1,NCAA Division I-FBS,4959,113.0,56257383.0,56257383.0,56257383.0,Football
55510,University of South Florida-Main Campus,1,NCAA Division I-FBS,10900,113.0,16760097.0,16760097.0,16760097.0,Football
55761,Georgia Institute of Technology-Main Campus,1,NCAA Division I-FBS,8654,124.0,42553892.0,29744089.0,29744089.0,Football
55785,Georgia Southern University,1,NCAA Division I-FBS,8848,127.0,6123720.0,6123720.0,6123720.0,Football
55796,Georgia State University,1,NCAA Division I-FBS,8556,111.0,8267631.0,8267631.0,8267631.0,Football
55806,University of Georgia,1,NCAA Division I-FBS,11922,135.0,123073722.0,49207808.0,49207808.0,Football
55982,University of Hawaii at Manoa,1,NCAA Division I-FBS,4529,120.0,12737691.0,12737691.0,12737691.0,Football
56003,Boise State University,1,NCAA Division I-FBS,5748,113.0,20281713.0,14600947.0,14600947.0,Football
56271,University of Illinois at Urbana-Champaign,1,NCAA Division I-FBS,17413,103.0,58155936.0,23418953.0,23418953.0,Football
56569,Northern Illinois University,1,NCAA Division I-FBS,5511,108.0,8386474.0,8386474.0,8386474.0,Football
56581,Northwestern University,1,NCAA Division I-FBS,3999,118.0,63246903.0,32136417.0,32136417.0,Football
56820,Ball State University,1,NCAA Division I-FBS,5922,121.0,7135305.0,7135305.0,7135305.0,Football
57023,Indiana University-Bloomington,1,NCAA Division I-FBS,16111,122.0,52577443.0,24216483.0,24216483.0,Football
57092,University of Notre Dame,1,NCAA Division I-FBS,4477,120.0,115510518.0,50201929.0,50201929.0,Football
57377,Iowa State University,1,NCAA Division I-FBS,15988,139.0,51931511.0,26960124.0,26960124.0,Football
57408,University of Iowa,1,NCAA Division I-FBS,10010,124.0,81037375.0,36838032.0,36838032.0,Football
57816,University of Kansas,1,NCAA Division I-FBS,8361,130.0,38148252.0,25325279.0,25325279.0,Football
57836,Kansas State University,1,NCAA Division I-FBS,8619,129.0,46167900.0,20549475.0,20549475.0,Football
58123,University of Kentucky,1,NCAA Division I-FBS,9010,124.0,41366437.0,31446474.0,31446474.0,Football
58157,University of Louisville,1,NCAA Division I-FBS,5463,120.0,47327709.0,44057106.0,44057106.0,Football
58273,Western Kentucky University,1,NCAA Division I-FBS,5139,127.0,8151383.0,8151383.0,8151383.0,Football
58317,Louisiana State University and Agricultural & Mechanical College,1,NCAA Division I-FBS,10443,118.0,91950610.0,35319160.0,35319160.0,Football
58347,Louisiana Tech University,1,NCAA Division I-FBS,4319,100.0,8572588.0,8443279.0,8443279.0,Football
58391,University of Louisiana at Monroe,1,NCAA Division I-FBS,1866,125.0,5304043.0,5304043.0,5304043.0,Football
58431,University of Louisiana at Lafayette,1,NCAA Division I-FBS,5487,137.0,11050193.0,11050193.0,11050193.0,Football
58439,Tulane University of Louisiana,1,NCAA Division I-FBS,2817,120.0,13291710.0,13291710.0,13291710.0,Football
58774,University of Maryland-College Park,1,NCAA Division I-FBS,14934,114.0,46592593.0,28507867.0,28507867.0,Football
59005,Boston College,1,NCAA Division I-FBS,4508,111.0,32347820.0,24855252.0,24855252.0,Football
59244,University of Massachusetts-Amherst,1,NCAA Division I-FBS,11047,107.0,10347538.0,10347538.0,10347538.0,Football
59657,Central Michigan University,1,NCAA Division I-FBS,6047,116.0,8175068.0,8175068.0,8175068.0,Football
59723,Eastern Michigan University,1,NCAA Division I-FBS,4516,113.0,8770408.0,8770408.0,8770408.0,Football
59888,University of Michigan-Ann Arbor,1,NCAA Division I-FBS,14503,140.0,122270243.0,47430574.0,47430574.0,Football
59905,Michigan State University,1,NCAA Division I-FBS,17360,117.0,75545976.0,33928232.0,33928232.0,Football
60070,Western Michigan University,1,NCAA Division I-FBS,7712,105.0,9257979.0,9257979.0,9257979.0,Football
60269,University of Minnesota-Twin Cities,1,NCAA Division I-FBS,13569,115.0,63016508.0,32403693.0,32403693.0,Football
60603,University of Mississippi,1,NCAA Division I-FBS,7087,117.0,48247277.0,32215416.0,32215416.0,Football
60645,Mississippi State University,1,NCAA Division I-FBS,8145,121.0,38035088.0,24026197.0,24026197.0,Football
60685,University of Southern Mississippi,1,NCAA Division I-FBS,3463,114.0,7068057.0,7068057.0,7068057.0,Football
60915,University of Missouri-Columbia,1,NCAA Division I-FBS,9734,119.0,38471523.0,23586363.0,23586363.0,Football
61310,University of Nebraska-Lincoln,1,NCAA Division I-FBS,10207,158.0,94336296.0,34574999.0,34574999.0,Football
61377,University of Nevada-Las Vegas,1,NCAA Division I-FBS,8021,103.0,9768926.0,9768926.0,9768926.0,Football
61390,University of Nevada-Reno,1,NCAA Division I-FBS,7202,123.0,10710232.0,10710232.0,10710232.0,Football
61819,Rutgers University-New Brunswick,1,NCAA Division I-FBS,16916,118.0,26698913.0,26698913.0,26698913.0,Football
61956,University of New Mexico-Main Campus,1,NCAA Division I-FBS,5963,111.0,9160962.0,9160962.0,9160962.0,Football
61968,New Mexico State University-Main Campus,1,NCAA Division I-FBS,4329,114.0,8565863.0,8565863.0,8565863.0,Football
63096,University at Buffalo,1,NCAA Division I-FBS,11396,112.0,8599068.0,8599068.0,8599068.0,Football
63278,Syracuse University,1,NCAA Division I-FBS,6589,125.0,43813014.0,28000705.0,28000705.0,Football
63408,Appalachian State University,1,NCAA Division I-FBS,7211,121.0,9365952.0,9365952.0,9365952.0,Football
63522,Duke University,1,NCAA Division I-FBS,3278,116.0,40328603.0,28806459.0,28806459.0,Football
63535,East Carolina University,1,NCAA Division I-FBS,8478,115.0,14136043.0,14094264.0,14094264.0,Football
63732,University of North Carolina at Chapel Hill,1,NCAA Division I-FBS,7462,129.0,39314461.0,23127138.0,23127138.0,Football
63746,University of North Carolina at Charlotte,1,NCAA Division I-FBS,11236,144.0,9715195.0,9715195.0,9715195.0,Football
63771,North Carolina State University at Raleigh,1,NCAA Division I-FBS,11695,116.0,45701857.0,23334366.0,23334366.0,Football
63909,Wake Forest University,1,NCAA Division I-FBS,2439,119.0,26722457.0,21462286.0,21462286.0,Football
64054,University of Akron Main Campus,1,NCAA Division I-FBS,6500,110.0,8186577.0,8186577.0,8186577.0,Football
64098,Bowling Green State University-Main Campus,1,NCAA Division I-FBS,5670,108.0,7750248.0,7750248.0,7750248.0,Football
64155,University of Cincinnati-Main Campus,1,NCAA Division I-FBS,12060,115.0,14998887.0,14998887.0,14998887.0,Football
64304,Kent State University at Kent,1,NCAA Division I-FBS,6976,97.0,6901879.0,6901879.0,6901879.0,Football
64380,Miami University-Oxford,1,NCAA Division I-FBS,8245,115.0,9272010.0,9272010.0,9272010.0,Football
64494,Ohio State University-Main Campus,1,NCAA Division I-FBS,21881,131.0,115091304.0,60076743.0,60076743.0,Football
64513,Ohio University-Main Campus,1,NCAA Division I-FBS,7723,120.0,9100410.0,9100410.0,9100410.0,Football
64602,University of Toledo,1,NCAA Division I-FBS,6552,116.0,11696094.0,11696094.0,11696094.0,Football
64848,Oklahoma State University-Main Campus,1,NCAA Division I-FBS,8939,135.0,52218241.0,24289694.0,24289694.0,Football
64879,University of Oklahoma-Norman Campus,1,NCAA Division I-FBS,9248,119.0,94817907.0,43453315.0,43453315.0,Football
64945,University of Tulsa,1,NCAA Division I-FBS,1732,125.0,15231473.0,15231473.0,15231473.0,Football
65074,Oregon State University,1,NCAA Division I-FBS,9795,120.0,35844057.0,23695109.0,23695109.0,Football
65086,University of Oregon,1,NCAA Division I-FBS,8054,120.0,72146320.0,33024841.0,33024841.0,Football
66040,Pennsylvania State University-Main Campus,1,NCAA Division I-FBS,20781,127.0,100133983.0,48538956.0,48538956.0,Football
66153,University of Pittsburgh-Pittsburgh Campus,1,NCAA Division I-FBS,8732,115.0,39176605.0,31843372.0,31843372.0,Football
66308,Temple University,1,NCAA Division I-FBS,12298,121.0,24397873.0,24397873.0,24397873.0,Football
66690,Clemson University,1,NCAA Division I-FBS,9613,124.0,61378516.0,55649888.0,55649888.0,Football
66831,University of South Carolina-Columbia,1,NCAA Division I-FBS,11772,119.0,65004536.0,36206781.0,36206781.0,Football
66859,Coastal Carolina University,1,NCAA Division I-FBS,4121,125.0,9227648.0,9227648.0,9227648.0,Football
67221,University of Memphis,1,NCAA Division I-FBS,5090,116.0,17856441.0,17856441.0,17856441.0,Football
67231,Middle Tennessee State University,1,NCAA Division I-FBS,7141,124.0,10063147.0,10063147.0,10063147.0,Football
67300,The University of Tennessee-Knoxville,1,NCAA Division I-FBS,10485,125.0,91022335.0,35170599.0,35170599.0,Football
67366,Vanderbilt University,1,NCAA Division I-FBS,3295,104.0,32108897.0,28610632.0,28610632.0,Football
67423,Baylor University,1,NCAA Division I-FBS,5632,118.0,45580767.0,30995620.0,30995620.0,Football
67582,University of Houston,1,NCAA Division I-FBS,13749,118.0,18656864.0,18656864.0,18656864.0,Football
67734,University of North Texas,1,NCAA Division I-FBS,11888,109.0,11692600.0,11692600.0,11692600.0,Football
67801,Rice University,1,NCAA Division I-FBS,2020,96.0,12892595.0,12892595.0,12892595.0,Football
67857,Southern Methodist University,1,NCAA Division I-FBS,3206,122.0,20519325.0,20519325.0,20519325.0,Football
67898,Texas State University,1,NCAA Division I-FBS,11625,120.0,9706628.0,9706628.0,9706628.0,Football
67941,Texas A & M University-College Station,1,NCAA Division I-FBS,24703,125.0,73517543.0,42803201.0,42803201.0,Football
67959,The University of Texas at Austin,1,NCAA Division I-FBS,17313,115.0,156147208.0,43200270.0,43200270.0,Football
67977,The University of Texas at El Paso,1,NCAA Division I-FBS,6693,131.0,14219107.0,12101963.0,12101963.0,Football
67997,Texas Christian University,1,NCAA Division I-FBS,3746,135.0,65384773.0,40861131.0,40861131.0,Football
68037,The University of Texas at San Antonio,1,NCAA Division I-FBS,11010,114.0,11209349.0,11209349.0,11209349.0,Football
68057,Texas Tech University,1,NCAA Division I-FBS,14631,123.0,51075082.0,20765181.0,20765181.0,Football
68143,Brigham Young University-Provo,1,NCAA Division I-FBS,14164,125.0,23171603.0,21180680.0,21180680.0,Football
68180,Utah State University,1,NCAA Division I-FBS,8301,110.0,10010163.0,10010163.0,10010163.0,Football
68202,University of Utah,1,NCAA Division I-FBS,9574,131.0,63181908.0,29262589.0,29262589.0,Football
68469,Liberty University,1,NCAA Division I-FBS,11212,107.0,16358467.0,16358467.0,16358467.0,Football
68539,Old Dominion University,1,NCAA Division I-FBS,6747,119.0,11415018.0,11415018.0,11415018.0,Football
68656,Virginia Polytechnic Institute and State University,1,NCAA Division I-FBS,15416,120.0,56224912.0,30123282.0,30123282.0,Football
68678,University of Virginia-Main Campus,1,NCAA Division I-FBS,7240,127.0,33726985.0,26280855.0,26280855.0,Football
68949,Washington State University,1,NCAA Division I-FBS,10833,124.0,45338410.0,22052168.0,22052168.0,Football
68959,University of Washington-Seattle Campus,1,NCAA Division I-FBS,13552,114.0,84041770.0,40474139.0,40474139.0,Football
69098,Marshall University,1,NCAA Division I-FBS,3179,118.0,10442448.0,9825687.0,9825687.0,Football
69186,West Virginia University,1,NCAA Division I-FBS,10170,132.0,24692746.0,22290035.0,22290035.0,Football
69503,University of Wisconsin-Madison,1,NCAA Division I-FBS,13930,115.0,89944636.0,31714090.0,31714090.0,Football
69583,University of Wyoming,1,NCAA Division I-FBS,4301,116.0,13649998.0,13649998.0,13649998.0,Football
69783,Stanford University,1,NCAA Division I-FBS,3535,102.0,44462092.0,30470121.0,30470121.0,Football
69803,Purdue University-Main Campus,1,NCAA Division I-FBS,18331,118.0,54752462.0,27342141.0,27342141.0,Football
