,institution_name,classification_code,classification_name,ef_male_count,partic_men,rev_men,exp_men,total_exp_menwomen,sports
52401,University of Alabama at Birmingham,1,NCAA Division I-FBS,3954,124.0,11921225.0,11725395.0,11725395.0,Football
52432,The University of Alabama,1,NCAA Division I-FBS,13265,133.0,94604899.0,69718059.0,69718059.0,Football
52455,Auburn University,1,NCAA Division I-FBS,11183,122.0,95157216.0,47846261.0,47846261.0,Football
52633,University of South Alabama,1,NCAA Division I-FBS,3516,117.0,9783711.0,10130130.0,10130130.0,Football
52665,Troy University,1,NCAA Division I-FBS,3542,119.0,8995915.0,8571387.0,8571387.0,Football
52701,Arizona State University-Tempe,1,NCAA Division I-FBS,21732,117.0,39007842.0,26245544.0,26245544.0,Football
52724,University of Arizona,1,NCAA Division I-FBS,13684,123.0,43272457.0,22548661.0,22548661.0,Football
52876,University of Arkansas,1,NCAA Division I-FBS,9697,125.0,76463785.0,43162670.0,43162670.0,Football
52896,Arkansas State University-Main Campus,1,NCAA Division I-FBS,2869,116.0,7789945.0,7789945.0,7789945.0,Football
53228,California State University-Fresno,1,NCAA Division I-FBS,7828,119.0,16419529.0,16419529.0,16419529.0,Football
53305,University of California-Berkeley,1,NCAA Division I-FBS,13997,120.0,33532252.0,27790118.0,27790118.0,Football
53347,University of California-Los Angeles,1,NCAA Division I-FBS,12998,116.0,41288698.0,35463068.0,35463068.0,Football
54241,San Diego State University,1,NCAA Division I-FBS,12196,113.0,13422004.0,16070045.0,16070045.0,Football
54313,San Jose State University,1,NCAA Division I-FBS,11556,108.0,8512268.0,8512268.0,8512268.0,Football
54497,University of Southern California,1,NCAA Division I-FBS,9240,116.0,50046008.0,32124522.0,32124522.0,Football
54610,University of Colorado Boulder,1,NCAA Division I-FBS,15325,116.0,43461696.0,29642881.0,29642881.0,Football
54655,Colorado State University-Fort Collins,1,NCAA Division I-FBS,10540,112.0,24782902.0,24782902.0,24782902.0,Football
54814,University of Connecticut,1,NCAA Division I-FBS,8998,102.0,16224408.0,16224408.0,16224408.0,Football
55196,University of Central Florida,1,NCAA Division I-FBS,19022,139.0,30248726.0,24767711.0,24767711.0,Football
55254,Florida Atlantic University,1,NCAA Division I-FBS,7004,132.0,11877533.0,11877533.0,11877533.0,Football
55298,Florida International University,1,NCAA Division I-FBS,11715,109.0,14200561.0,11771431.0,11771431.0,Football
55326,Florida State University,1,NCAA Division I-FBS,12263,108.0,68893857.0,68893857.0,68893857.0,Football
55337,University of Florida,1,NCAA Division I-FBS,13633,119.0,84837920.0,39149664.0,39149664.0,Football
