year,institution_name,classification_code,classification_name,ef_male_count,partic_men,rev_men,exp_men,total_exp_menwomen,sports,Win Percentage
2019,Southern Mississippi,1,NCAA Division I-FBS,3367,114,7761592,7761592,7761592,Football,53.90%
2019,Stanford University,1,NCAA Division I-FBS,3467,102,40933017,27738893,27738893,Football,33.30%
2019,Syracuse University,1,NCAA Division I-FBS,6716,127,42622806,27710505,27710505,Football,41.70%
2019,TCU,1,NCAA Division I-FBS,3812,133,61245684,41053901,41053901,Football,41.70%
2019,Temple University,1,NCAA Division I-FBS,11802,121,24282137,24282137,24282137,Football,61.50%
2019,Tennessee-Knoxville,1,NCAA Division I-FBS,10655,130,91615408,38115086,38115086,Football,61.50%
2019,Texas,1,NCAA Division I-FBS,16826,120,144426105,39503076,39503076,Football,61.50%
2019,Texas A&M,1,NCAA Division I-FBS,24943,136,78052665,40626375,40626375,Football,61.50%
2019,Texas State University,1,NCAA Division I-FBS,11430,120,8578422,8578422,8578422,Football,25.00%
2019,Texas Tech University,1,NCAA Division I-FBS,14529,124,47746305,21593943,21593943,Football,33.30%
2019,Toledo,1,NCAA Division I-FBS,6289,128,10355750,10355750,10355750,Football,50.00%
2019,Troy University,1,NCAA Division I-FBS,3281,125,7431780,8129799,8129799,Football,41.70%
2019,Tulane Louisiana,1,NCAA Division I-FBS,3012,116,11487992,11899611,11899611,Football,53.90%
2019,Tulsa,1,NCAA Division I-FBS,1678,132,13268287,13268287,13268287,Football,33.30%
2019,UCLA,1,NCAA Division I-FBS,12819,128,37548589,32311479,32311479,Football,33.30%
2019,USC,1,NCAA Division I-FBS,9333,118,53380160,36363652,36363652,Football,61.50%
2019,Utah,1,NCAA Division I-FBS,9723,132,62643143,31759405,31759405,Football,78.60%
2019,Utah State University,1,NCAA Division I-FBS,7919,112,13542393,13542393,13542393,Football,53.90%
2019,VA Tech,1,NCAA Division I-FBS,16267,121,50292457,35625481,35625481,Football,61.50%
2019,Vanderbilt University,1,NCAA Division I-FBS,3296,111,33385110,29215452,29215452,Football,25.00%
2019,Virginia Main Campus,1,NCAA Division I-FBS,7320,133,43316163,27576886,27576886,Football,64.30%
2019,Wake Forest University,1,NCAA Division I-FBS,2447,125,24698755,24698755,24698755,Football,61.50%
2019,Washington State University,1,NCAA Division I-FBS,10777,137,44039717,23049902,23049902,Football,46.20%
2019,Washington-Seattle Campus,1,NCAA Division I-FBS,13237,107,91704081,38441025,38441025,Football,61.50%
2019,West Virginia University,1,NCAA Division I-FBS,9814,127,18962505,22221317,22221317,Football,41.70%
2019,Western Kentucky University,1,NCAA Division I-FBS,4756,127,9956826,9956826,9956826,Football,69.20%
2019,Western Michigan University,1,NCAA Division I-FBS,7406,110,9275641,9275641,9275641,Football,53.90%
2019,Wisconsin-Madison,1,NCAA Division I-FBS,14175,117,87408161,29316118,29316118,Football,71.40%
2019,Wyoming,1,NCAA Division I-FBS,4155,118,17300935,12391721,12391721,Football,61.50%
