,institution_name,classification_code,classification_name,ef_male_count,partic_men,rev_men,exp_men,total_exp_menwomen,sports
17388,The University of Alabama,1,NCAA Division I-FBS,13038,135.0,108117057.0,62252389.0,62252389.0,Football
17411,Auburn University,1,NCAA Division I-FBS,10026,120.0,91652926.0,42825220.0,42825220.0,Football
17596,University of South Alabama,1,NCAA Division I-FBS,4446,126.0,9022485.0,9312511.0,9312511.0,Football
17625,Troy University,1,NCAA Division I-FBS,3711,131.0,8764479.0,8442152.0,8442152.0,Football
17656,Arizona State University-Tempe,1,NCAA Division I-FBS,22020,121.0,43012682.0,31371363.0,31371363.0,Football
17679,University of Arizona,1,NCAA Division I-FBS,13909,113.0,44177156.0,21138814.0,21138814.0,Football
17829,University of Arkansas,1,NCAA Division I-FBS,9277,122.0,71197898.0,37326361.0,37326361.0,Football
17849,Arkansas State University-Main Campus,1,NCAA Division I-FBS,3198,118.0,7159248.0,7159248.0,7159248.0,Football
18175,California State University-Fresno,1,NCAA Division I-FBS,7865,112.0,13219900.0,13219900.0,13219900.0,Football
18249,University of California-Berkeley,1,NCAA Division I-FBS,13574,133.0,44279264.0,22909592.0,22909592.0,Football
18289,University of California-Los Angeles,1,NCAA Division I-FBS,13088,109.0,39953277.0,27320771.0,27320771.0,Football
19172,San Diego State University,1,NCAA Division I-FBS,12068,122.0,13715072.0,14635173.0,14635173.0,Football
19240,San Jose State University,1,NCAA Division I-FBS,11298,97.0,8228106.0,8228106.0,8228106.0,Football
19423,University of Southern California,1,NCAA Division I-FBS,8687,107.0,59837839.0,30184975.0,30184975.0,Football
19535,University of Colorado Boulder,1,NCAA Division I-FBS,14251,116.0,43529706.0,22126313.0,22126313.0,Football
19579,Colorado State University-Fort Collins,1,NCAA Division I-FBS,10260,112.0,15444486.0,15444486.0,15444486.0,Football
19739,University of Connecticut,1,NCAA Division I-FBS,9191,104.0,25936445.0,20454919.0,20454919.0,Football
20113,University of Central Florida,1,NCAA Division I-FBS,17364,124.0,21546497.0,17064586.0,17064586.0,Football
20168,Florida Atlantic University,1,NCAA Division I-FBS,6964,115.0,7915024.0,7915024.0,7915024.0,Football
20212,Florida International University,1,NCAA Division I-FBS,11312,109.0,8168032.0,11396788.0,11396788.0,Football
20233,Florida State University,1,NCAA Division I-FBS,12689,121.0,86565283.0,48330205.0,48330205.0,Football
20244,University of Florida,1,NCAA Division I-FBS,13390,120.0,82791752.0,33692163.0,33692163.0,Football
20305,University of Miami,1,NCAA Division I-FBS,4832,114.0,35358218.0,33018938.0,33018938.0,Football
20407,University of South Florida-Main Campus,1,NCAA Division I-FBS,10666,118.0,15588752.0,12657036.0,12657036.0,Football
20649,Georgia Institute of Technology-Main Campus,1,NCAA Division I-FBS,8594,116.0,46252310.0,22349543.0,22349543.0,Football
20673,Georgia Southern University,1,NCAA Division I-FBS,7842,123.0,6138567.0,6138567.0,6138567.0,Football
20684,Georgia State University,1,NCAA Division I-FBS,7725,119.0,7955423.0,7955423.0,7955423.0,Football
20694,University of Georgia,1,NCAA Division I-FBS,11219,128.0,93335288.0,36387975.0,36387975.0,Football
20873,University of Hawaii at Manoa,1,NCAA Division I-FBS,4759,119.0,11811670.0,11811670.0,11811670.0,Football
20894,Boise State University,1,NCAA Division I-FBS,5855,112.0,21302390.0,11141018.0,11141018.0,Football
20914,University of Idaho,1,NCAA Division I-FBS,3880,105.0,7283199.0,7069959.0,7069959.0,Football
21159,University of Illinois at Urbana-Champaign,1,NCAA Division I-FBS,17529,102.0,35622414.0,22332328.0,22332328.0,Football
21441,Northern Illinois University,1,NCAA Division I-FBS,6188,113.0,8035152.0,8035152.0,8035152.0,Football
21453,Northwestern University,1,NCAA Division I-FBS,4123,103.0,38681564.0,26751803.0,26751803.0,Football
21692,Ball State University,1,NCAA Division I-FBS,6144,99.0,7044512.0,7044512.0,7044512.0,Football
21886,Indiana University-Bloomington,1,NCAA Division I-FBS,16085,128.0,37085787.0,25672983.0,25672983.0,Football
21952,University of Notre Dame,1,NCAA Division I-FBS,4472,117.0,96835375.0,33257684.0,33257684.0,Football
22235,Iowa State University,1,NCAA Division I-FBS,16457,137.0,41584474.0,19177215.0,19177215.0,Football
