,institution_name,classification_code,classification_name,ef_male_count,partic_men,rev_men,exp_men,total_exp_menwomen,sports
22264,University of Iowa,1,NCAA Division I-FBS,9801,121.0,58685965.0,31800591.0,31800591.0,Football
22660,University of Kansas,1,NCAA Division I-FBS,8402,109.0,33144217.0,17061940.0,17061940.0,Football
22680,Kansas State University,1,NCAA Division I-FBS,9215,125.0,40887031.0,19889407.0,19889407.0,Football
22947,University of Kentucky,1,NCAA Division I-FBS,9420,123.0,36393185.0,25589648.0,25589648.0,Football
22980,University of Louisville,1,NCAA Division I-FBS,5925,121.0,42066595.0,25194609.0,25194609.0,Football
23090,Western Kentucky University,1,NCAA Division I-FBS,5682,114.0,8914222.0,8914222.0,8914222.0,Football
23134,Louisiana State University and Agricultural & Mechanical College,1,NCAA Division I-FBS,10896,120.0,86183249.0,30086567.0,30086567.0,Football
23163,Louisiana Tech University,1,NCAA Division I-FBS,4187,100.0,8334252.0,8284960.0,8284960.0,Football
23209,University of Louisiana at Monroe,1,NCAA Division I-FBS,1844,127.0,5394664.0,5394664.0,5394664.0,Football
23251,University of Louisiana at Lafayette,1,NCAA Division I-FBS,5743,133.0,8450123.0,8450123.0,8450123.0,Football
23260,Tulane University of Louisiana,1,NCAA Division I-FBS,2717,99.0,13367701.0,13367701.0,13367701.0,Football
23578,University of Maryland-College Park,1,NCAA Division I-FBS,13815,111.0,29973008.0,18908923.0,18908923.0,Football
23802,Boston College,1,NCAA Division I-FBS,4413,105.0,28487714.0,23103611.0,23103611.0,Football
24035,University of Massachusetts-Amherst,1,NCAA Division I-FBS,11102,114.0,10457450.0,10457450.0,10457450.0,Football
24459,Central Michigan University,1,NCAA Division I-FBS,7413,115.0,7233254.0,7233254.0,7233254.0,Football
24520,Eastern Michigan University,1,NCAA Division I-FBS,5119,129.0,9033503.0,9033503.0,9033503.0,Football
24689,University of Michigan-Ann Arbor,1,NCAA Division I-FBS,13891,139.0,105876108.0,46249632.0,46249632.0,Football
24706,Michigan State University,1,NCAA Division I-FBS,17245,118.0,64958793.0,26326106.0,26326106.0,Football
24867,Western Michigan University,1,NCAA Division I-FBS,7662,99.0,8667334.0,8667334.0,8667334.0,Football
25066,University of Minnesota-Twin Cities,1,NCAA Division I-FBS,13827,112.0,48886935.0,30950349.0,30950349.0,Football
25402,University of Mississippi,1,NCAA Division I-FBS,7716,119.0,62681760.0,30410352.0,30410352.0,Football
25436,Mississippi State University,1,NCAA Division I-FBS,7985,119.0,35687282.0,23069814.0,23069814.0,Football
25477,University of Southern Mississippi,1,NCAA Division I-FBS,3683,111.0,7047869.0,7047869.0,7047869.0,Football
25707,University of Missouri-Columbia,1,NCAA Division I-FBS,11470,123.0,29205904.0,21093796.0,21093796.0,Football
26099,University of Nebraska-Lincoln,1,NCAA Division I-FBS,10022,139.0,69503006.0,36571682.0,36571682.0,Football
26163,University of Nevada-Las Vegas,1,NCAA Division I-FBS,7778,100.0,9806497.0,9806497.0,9806497.0,Football
26176,University of Nevada-Reno,1,NCAA Division I-FBS,7206,123.0,9730719.0,9283715.0,9283715.0,Football
26602,Rutgers University-New Brunswick,1,NCAA Division I-FBS,16991,107.0,25423916.0,25423916.0,25423916.0,Football
26739,University of New Mexico-Main Campus,1,NCAA Division I-FBS,7090,113.0,11778648.0,11778648.0,11778648.0,Football
26751,New Mexico State University-Main Campus,1,NCAA Division I-FBS,4609,108.0,6184956.0,6184956.0,6184956.0,Football
27893,University at Buffalo,1,NCAA Division I-FBS,10798,117.0,7796405.0,7796405.0,7796405.0,Football
28072,Syracuse University,1,NCAA Division I-FBS,6518,117.0,44182377.0,22039433.0,22039433.0,Football
28199,Appalachian State University,1,NCAA Division I-FBS,6975,110.0,7923498.0,7923498.0,7923498.0,Football
28310,Duke University,1,NCAA Division I-FBS,3259,116.0,33907896.0,24492430.0,24492430.0,Football
28322,East Carolina University,1,NCAA Division I-FBS,8393,109.0,12595950.0,10591998.0,10591998.0,Football
28519,University of North Carolina at Chapel Hill,1,NCAA Division I-FBS,7361,134.0,41163583.0,21670847.0,21670847.0,Football
28533,University of North Carolina at Charlotte,1,NCAA Division I-FBS,10733,122.0,8182524.0,8182524.0,8182524.0,Football
28558,North Carolina State University at Raleigh,1,NCAA Division I-FBS,11323,115.0,43165259.0,20866002.0,20866002.0,Football
28683,Wake Forest University,1,NCAA Division I-FBS,2305,110.0,23955942.0,18880147.0,18880147.0,Football
28832,University of Akron Main Campus,1,NCAA Division I-FBS,7363,105.0,7253770.0,7253770.0,7253770.0,Football
28873,Bowling Green State University-Main Campus,1,NCAA Division I-FBS,5661,107.0,6537321.0,6537321.0,6537321.0,Football
28930,University of Cincinnati-Main Campus,1,NCAA Division I-FBS,11318,108.0,15491793.0,15491793.0,15491793.0,Football
29069,Kent State University at Kent,1,NCAA Division I-FBS,7337,100.0,6861750.0,6861750.0,6861750.0,Football
29143,Miami University-Oxford,1,NCAA Division I-FBS,7925,111.0,9029644.0,9346412.0,9346412.0,Football
29258,Ohio State University-Main Campus,1,NCAA Division I-FBS,21559,130.0,89893135.0,38446470.0,38446470.0,Football
29277,Ohio University-Main Campus,1,NCAA Division I-FBS,8296,120.0,10705125.0,10134888.0,10134888.0,Football
29356,University of Toledo,1,NCAA Division I-FBS,6578,120.0,10046711.0,10046711.0,10046711.0,Football
29598,Oklahoma State University-Main Campus,1,NCAA Division I-FBS,9286,137.0,42225614.0,19321071.0,19321071.0,Football
29629,University of Oklahoma-Norman Campus,1,NCAA Division I-FBS,9219,115.0,95876446.0,37848199.0,37848199.0,Football
29705,University of Tulsa,1,NCAA Division I-FBS,1852,116.0,15145884.0,15145884.0,15145884.0,Football
29834,Oregon State University,1,NCAA Division I-FBS,9951,105.0,33866008.0,16354490.0,16354490.0,Football
29846,University of Oregon,1,NCAA Division I-FBS,8472,111.0,66307082.0,28912049.0,28912049.0,Football
30782,Pennsylvania State University-Main Campus,1,NCAA Division I-FBS,21204,117.0,81106066.0,39163720.0,39163720.0,Football
30902,University of Pittsburgh-Pittsburgh Campus,1,NCAA Division I-FBS,8716,114.0,40124656.0,27421284.0,27421284.0,Football
31054,Temple University,1,NCAA Division I-FBS,12406,125.0,20624125.0,20624125.0,20624125.0,Football
31421,Clemson University,1,NCAA Division I-FBS,9292,121.0,51712856.0,43943578.0,43943578.0,Football
31558,University of South Carolina-Columbia,1,NCAA Division I-FBS,11018,121.0,60264364.0,34794858.0,34794858.0,Football
31934,University of Memphis,1,NCAA Division I-FBS,5278,120.0,14713436.0,14713436.0,14713436.0,Football
31944,Middle Tennessee State University,1,NCAA Division I-FBS,7332,129.0,10541364.0,10541364.0,10541364.0,Football
32010,The University of Tennessee-Knoxville,1,NCAA Division I-FBS,10476,125.0,110673571.0,32600254.0,32600254.0,Football
32077,Vanderbilt University,1,NCAA Division I-FBS,3366,104.0,29036478.0,23316024.0,23316024.0,Football
32131,Baylor University,1,NCAA Division I-FBS,5915,114.0,43223215.0,33370976.0,33370976.0,Football
32282,University of Houston,1,NCAA Division I-FBS,12742,122.0,14641643.0,14641643.0,14641643.0,Football
32428,University of North Texas,1,NCAA Division I-FBS,11990,113.0,9917343.0,9917343.0,9917343.0,Football
32495,Rice University,1,NCAA Division I-FBS,1999,112.0,12001178.0,12001178.0,12001178.0,Football
32554,Southern Methodist University,1,NCAA Division I-FBS,3132,120.0,17637584.0,17637584.0,17637584.0,Football
32594,Texas State University,1,NCAA Division I-FBS,11896,120.0,6952086.0,6952086.0,6952086.0,Football
32639,Texas A & M University-College Station,1,NCAA Division I-FBS,22973,126.0,70427183.0,31078112.0,31078112.0,Football
32657,The University of Texas at Austin,1,NCAA Division I-FBS,17325,125.0,141173444.0,43306703.0,43306703.0,Football
32675,The University of Texas at El Paso,1,NCAA Division I-FBS,6451,119.0,12454995.0,9699853.0,9699853.0,Football
32695,Texas Christian University,1,NCAA Division I-FBS,3381,125.0,58775636.0,35716777.0,35716777.0,Football
32734,The University of Texas at San Antonio,1,NCAA Division I-FBS,9781,116.0,10615893.0,10615893.0,10615893.0,Football
32754,Texas Tech University,1,NCAA Division I-FBS,14522,121.0,44646242.0,21460207.0,21460207.0,Football
32835,Brigham Young University-Provo,1,NCAA Division I-FBS,14524,128.0,26116548.0,19253088.0,19253088.0,Football
32872,Utah State University,1,NCAA Division I-FBS,8249,108.0,8981573.0,8981573.0,8981573.0,Football
32894,University of Utah,1,NCAA Division I-FBS,9286,127.0,51559243.0,24483890.0,24483890.0,Football
33251,Old Dominion University,1,NCAA Division I-FBS,7030,118.0,10391676.0,10391676.0,10391676.0,Football
33357,Virginia Polytechnic Institute and State University,1,NCAA Division I-FBS,14352,119.0,53471351.0,24995627.0,24995627.0,Football
33379,University of Virginia-Main Campus,1,NCAA Division I-FBS,7065,108.0,21136336.0,21136336.0,21136336.0,Football
33648,Washington State University,1,NCAA Division I-FBS,10372,117.0,40547097.0,19053746.0,19053746.0,Football
33658,University of Washington-Seattle Campus,1,NCAA Division I-FBS,13370,116.0,80230690.0,37660773.0,37660773.0,Football
33795,Marshall University,1,NCAA Division I-FBS,3454,117.0,8905082.0,8905082.0,8905082.0,Football
33885,West Virginia University,1,NCAA Division I-FBS,11128,128.0,22453097.0,20122095.0,20122095.0,Football
34201,University of Wisconsin-Madison,1,NCAA Division I-FBS,13758,115.0,73548409.0,33147287.0,33147287.0,Football
34281,University of Wyoming,1,NCAA Division I-FBS,4125,119.0,13133784.0,10397742.0,10397742.0,Football
34425,Stanford University,1,NCAA Division I-FBS,3620,103.0,44469378.0,24606269.0,24606269.0,Football
34445,Purdue University-Main Campus,1,NCAA Division I-FBS,17069,110.0,26014107.0,26680356.0,26680356.0,Football
